"Liberty Braves CS C","2017-03-31T00:00:00","BATRK","Liberty Braves CS C"
"Bed Bath & Beyond","2017-03-31T00:00:00","BBBY","Bed Bath & Beyond"
"Bioshrs Biotec Cl TR","2017-03-31T00:00:00","BBC","Bioshrs Biotec Cl TR"
"Beasley Brdcst Gr","2017-03-31T00:00:00","BBGI","Beasley Brdcst Gr"
"Vaneck Vectors Biote","2017-03-31T00:00:00","BBH","Vaneck Vectors Biote"
"Black Box Cp","2017-03-31T00:00:00","BBOX","Black Box Cp"
"Bioshrs Biotech Prod","2017-03-31T00:00:00","BBP","Bioshrs Biotech Prod"
"Bravo Brio Restauran","2017-03-31T00:00:00","BBRG","Bravo Brio Restauran"
"Blackberry Limited","2017-03-31T00:00:00","BBRY","Blackberry Limited"
"Barrett Business S","2017-03-31T00:00:00","BBSI","Barrett Business S"
"Bcb Bancorp Inc","2017-03-31T00:00:00","BCBP","Bcb Bancorp Inc"
"Brainstorm Cell Cmn","2017-03-31T00:00:00","BCLI","Brainstorm Cell Cmn"
"B Communications Ltd","2017-03-31T00:00:00","BCOM","B Communications Ltd"
"Blucora Inc Cmn","2017-03-31T00:00:00","BCOR","Blucora Inc Cmn"
"Brightcove Inc","2017-03-31T00:00:00","BCOV","Brightcove Inc"
"Balchem Cp","2017-03-31T00:00:00","BCPC","Balchem Cp"
"Biocryst Pharma Inc","2017-03-31T00:00:00","BCRX","Biocryst Pharma Inc"
"Bancorp 34 Inc","2017-03-31T00:00:00","BCTF","Bancorp 34 Inc"
"Black Diamond Inc","2017-03-31T00:00:00","BDE","Black Diamond Inc"
"Bridge Bancorp Inc","2017-03-31T00:00:00","BDGE","Bridge Bancorp Inc"
"Biodelivery Sci Intl","2017-03-31T00:00:00","BDSI","Biodelivery Sci Intl"
"Biotelemetry Inc","2017-03-31T00:00:00","BEAT","Biotelemetry Inc"
"BE Aerospace Inc","2017-03-31T00:00:00","BEAV","BE Aerospace Inc"
"Bebe Stores Inc","2017-03-31T00:00:00","BEBE","Bebe Stores Inc"
"Beacon Roofing Suppl","2017-03-31T00:00:00","BECN","Beacon Roofing Suppl"
"Bel Fuse Cl A","2017-03-31T00:00:00","BELFA","Bel Fuse Cl A"
"Bel Fuse Inc Cl B","2017-03-31T00:00:00","BELFB","Bel Fuse Inc Cl B"
"Bankfinancial Corpor","2017-03-31T00:00:00","BFIN","Bankfinancial Corpor"
"Glbl X Hlth Well ETF","2017-03-30T00:00:00","BFIT","Glbl X Hlth Well ETF"
"Bgc Partners Cl A","2017-03-31T00:00:00","BGCP","Bgc Partners Cl A"
"Big 5 Sporting","2017-03-31T00:00:00","BGFV","Big 5 Sporting"
"Beigene Ltd. Ads","2017-03-31T00:00:00","BGNE","Beigene Ltd. Ads"
"Barington/Hilco Acq","2017-03-29T00:00:00","BHAC","Barington/Hilco Acq"
"Barington/Hilco Rgts","2017-03-31T00:00:00","BHACR","Barington/Hilco Rgts"
"Barington/Hilco Uts","2017-03-31T00:00:00","BHACU","Barington/Hilco Uts"
"Barington/Hilco Wts","2017-03-31T00:00:00","BHACW","Barington/Hilco Wts"
"Blue Hills Bancorp","2017-03-31T00:00:00","BHBK","Blue Hills Bancorp"
"Proshares Ultra Nasdaq Biotech","2017-03-31T00:00:00","BIB","Proshares Ultra Nasdaq Biotech"
"First Trust BICK Ind","2017-03-31T00:00:00","BICK","First Trust BICK Ind"
